id,title,userID,length,total_activities
378,ΑΣΚΗΣΗ1,347,4,4
379,Kef2_(2.1)Logismiko Systimatos-Efarmogwn,16378,11,11
380,kavafis2_koufou,4421,18,18
381,Διαδοχική εκκίνηση τριφασικών κινητήρων ,1069,7,7
382,Google Gadgets Examples,8,4,4
383,K0302 The Trial,9,14,14
384,Ασφάλεια στο Διαδίκτυο - Ιδιωτικότητα,3349,12,13
385,Ο_Χρυσός_Αιώνας,1076,6,6
386,Τα βουνά της Ελλάδας- Διαμάντω Σκεπετάρη,1681,2,2
387,4 P's of Marketing,4956,14,17
388,LAMS Sequence Task 2 - Michael Yip 44638868,7348,9,13
389,Discourse,2221,7,9
390,Year 8 Maths,5319,9,21
391,Magdalinou_E1_16PES632,1393,14,18
392,Αρχαία ελληνική τέχνη,1682,3,3
393,ΕΦ1.1_Μαθιουδακης,1573,4,6
394,καβαφης_ΜπούραΒ,1613,3,3
395,Το χαρούμενο λιβάδι,1664,5,5
396,Η πρώτη μου ακολουθία-ΠελέκηΒ,1661,3,3
397,EIRHNH GEVRGIOY FYLLO DRASTHRIOTHTAS 5,3941,7,7
398,Uncommon commonalities,1,6,8
399,Developing Scenario Learning templates - 2x2 Branching,295,9,21
400,Peak-Oil_Webber_Mark,33,11,18
401,Bloom's Taxonomy with ppt,12,16,16
402,Twitter Today,6166,11,13
403,Ηφαίστεια - Σεισμοί_Καρπούζα,1520,3,3
404,English Techniques,6320,10,12
405,ΕΙΔΗ ΠΟΛΙΤΕΥΜΑΤΟΣ - THΟMAS DIMITRIOU - ΤΡΟΠΟΠΟΙΗΣΗ ΠΑΝΑΓΙΩΤΗ ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ,1655,13,13
406,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ PLC ΜΕ ΓΛΩΣΣΑ LADDER,1448,5,5
407,K0104 The River of Dreams,9,13,13
408,Role Play-Interactive Whiteboards,10,12,18
409,ΤΕΛΙΚΗ ΕΡΓΑΣΙΑ,1713,14,14
410,MicroWorldsPro_3_νγωνο_κύκλος_Aivazoglou,3932,12,12
411,POE-Hammer and Feather,9,7,7
412,ΑΠΟΤΑΜΙΕΥΣΗ__ΚΑΤΑΘΕΣΕΙΣ_ΔΑΝΕΙΣΜΟΣ_ΠΟΛ_ΠΑΙΔΕΙΑ_ΚΕΦ_11_Α_ΛΥΚΕΙΟΥ,1643,9,9
413,HMClamsassignment,2181,7,9
414,Bethsheba42145171-task2 ,5807,11,13
415,X-rays,1530,12,14
416,Καρδιά και άθληση-Τσετίνη Αθηνά,1720,7,7
417,μαθημα 5 τελικό,1735,27,27
418,Δομή επιλογής (ΑΕΠΠ),3915,5,5
419,Road Saftey Lesson,6398,8,8
420,Μουσικό μάθημα,1577,4,4
421,δοκιμή-νεοελληνική μουσική,1627,4,4
422,Visual Arts Lesson (Stage 3),5946,11,25
423,Glossa_3_gymnasiou-GF-ΓΡΑΨΕ-ΔΙΑΒΑΣΕ,88,2,2
424,Άσκηση 2.2. Δημιουργία ακολουθίας1,1708,4,4
425,Enzymes!,2215,9,11
426,Stage 2 - Creating a Character,7072,9,9
427,digital_image_16032016_1_17032016_1,1,17,19
428,Ιστορία Τέχνης  ενότητες 1έως 6,1392,16,16
429,TA ΚΛΑΣΜΑΤΑ - ΚΩΛΕΤΤΗ,1553,3,3
430,Καλή πρακτική Εμείς και οι άλλοι,2578,19,24
431,SEE 4.1,11206,22,25
432,Hardware_Φλέσσας,1732,3,3
433,Ο ΕΓΩΙΣΤΗΣ ΓΙΓΑΝΤΑΣ - ΕΥΑΓΓΕΛΙΑ ΓΚΟΥΓΚΑΡΑ,1476,9,9
434,ΙΣΟΤΗΤΑ ΤΡΙΓΩΝΩΝ,4414,8,8
435,La folie Tecktonik_Galani Maria-Eleftheria,1453,6,6
436,EDUC261 - Rainforests - Jaclyn Dominey,4768,15,26
437,Πυκνωτές_1.1,1598,12,12
438,LAMENGL9,6172,9,9
439,SimplePresent diakladosh_Xygka,1056,4,8
440,ΦΕ8-Γριβοπούλου Αγγελική,3788,5,5
441,termodynamikh1,347,4,4
442,Διαγώνισμα Δίκτυα Ι 1ου τετραμήνου,3,13,13
443,PBL_Acropoli of Athens,7865,9,9
444,LAMS Sequence Assessment,3074,12,13
445,Cells and their functions,7248,12,12
446,Cells,1275,13,19
447,Oloi isoi,1737,18,30
448,final_noxos,1622,9,9
449,ΑΝΤΙΒΕΝΙΖΕΛΙΚΑ_ΑΡΙΣΤΕΡΑ_ΚΟΜΜΑΤΑ_ΙΣΤΟΡΙΑ_Γ_ΛΥΚΕΙΟΥ_ΣΕΡΕΜΕΤΑΚΗΣ_ΤΕΛΙΚΟ,1677,11,11
450,Παγκόσμιος Ιστός,1071,5,7
451,Periodic Table of Elements_N.K.Stamatis,4374,6,6
